Request Mix Accuracy
===================================
Domain Marker;max-jOPS;11485.0
Domain Marker;critical-jOPS;4097.0
Domain Marker;Validation Start jOPS;1383.7
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
2352.0;0.023020747005531916;-0.021922834456034934;-0.004037484859432894;5.82956147247779E-4;-0.0019620759755483164;0.0014573903681194267;-0.0019620759755483164;0.004823377745667212
2491.0;-0.013713200125756941;0.006789706403729667;0.007960345438855043;-9.973844579272417E-4;0.004742760433738447;0.001520158404184846;-0.0012776688897659927;-0.005024717207055662
2629.0;0.04146225668618797;-0.036872922930847096;-0.003481563538533905;-6.171862636493164E-4;0.0033233106504193533;3.956322202880447E-5;-0.001107770216806525;-0.002745687608798786
2767.0;-0.03550452532255122;0.009267282880799144;0.01709031388407567;-7.076834199884474E-4;0.0013479684190256247;-2.6477951088005325E-4;-0.001059118043520213;0.00983054111303705
2906.0;2.862065609932074E-4;-9.44481651295348E-4;0.00120206755619634;1.7229634972151797E-4;5.781372532183138E-4;-0.0015727050526906372;0.0017229634972151242;-0.0014444845133629869
3044.0;0.007382656772080054;0.0025429151103821823;-0.003882730598650852;0.001169740950776807;-0.006349084823991991;0.001010330250846292;2.1327675119353628E-4;-0.0020871044126411498
3183.0;-0.009380863039396559;0.01928288513654053;-0.0036481134042105623;6.25390869293252E-5;0.0027100271002711285;6.775067750677821E-4;-0.004065040650406471;-0.005638941004794784
3321.0;-0.0025071453642908637;7.521436092901013E-4;-5.014290728571069E-4;7.872436443864816E-4;8.524294238578811E-4;-0.0012911798626084603;-0.004161861304718406;0.006069798926942038
3459.0;0.007462147654237583;-0.013118937005032194;-0.002647858845051587;6.186361119803613E-4;0.0013720723106178667;-0.0020641263269383647;0.003297787834292132;0.005080278265893412
3598.0;0.013862831899302819;-0.015757418925538502;0.001571120948588245;-6.497047216805496E-4;-0.0014140088537285544;-6.931415949651409E-6;-2.7725663798605638E-5;0.002421836732807936
3736.0;0.008470193833701956;-2.674798052737515E-4;-0.007400274612599844;-5.866723729025108E-4;-9.62927298988947E-4;0.0018768166336775027;-9.62927298988947E-4;-1.6672907862114172E-4
3874.0;0.005549057940697821;-0.0033721198255065588;-0.007000350017500878;-1.1695706736555844E-4;-0.001169570673655751;0.0014150097748789614;5.37831769637398E-4;0.004157098098807488
4013.0;0.011175959269834834;-0.02255888074837742;0.006208866261021129;5.836334285359568E-4;0.0021110145287470683;-8.175007243677312E-4;0.0021110145287470683;0.0011858934558550693
4151.0;-0.006817562039813652;-0.005454049631850921;0.004170743836121815;-1.427677697749541E-4;0.002582652913906136;2.446301673109663E-4;0.002582652913906136;0.002833699610195861
4289.0;0.011613232891768632;0.003445259091222397;-0.01107128202349017;6.48018395360897E-4;-0.0012619713075725514;8.458304622840918E-4;-0.0020361868336907785;-0.002182900675889776
4428.0;0.008005570387581429;-3.9096971660512736E-4;-0.01202697318692536;5.350699835792727E-4;0.00199953083634008;-0.0012687898184038648;-9.792860520623226E-4;0.004125847566493146
4566.0;0.010364729371460157;0.006964370788189456;-0.013492331918639522;-0.0014441522924235617;1.0546566728852902E-4;-0.001610169799724337;8.328150968648362E-4;-0.0017207269130197211
4705.0;-0.012906510892740641;0.0031647471915050573;0.006965979851699444;4.232628366742791E-4;-7.178141674594185E-4;-2.652022786181485E-6;-0.0017786232819312353;0.004851610485037572
4843.0;-0.01767142136560551;0.0024534109274583216;0.011975390401158137;-1.478909244383847E-4;0.0026387035010002613;-5.412945088202614E-4;-1.063716625890887E-4;0.0013994736318374557
4981.0;-0.02109809784865746;0.01652961209402548;-0.001495140792425076;3.405598471633714E-4;4.153168867846446E-4;0.0015159066367638752;7.475703962123159E-4;0.0030442727801314184
